4FGL-v30,delta,ts,r95,glat,glon,eflux100,nbb,class1,variability,pindex,curvature,e0,sin_b,uw_name,bb_var,association,category
4FGL J1714.9-5230,0.03389469356961721,26.816301295533776,0.1921070682866772,-8.071157363072164,337.103399027863,2.4207289663529016e-12,13,,8.927133560180664,1.78800397,0.42624999931081264,1276.55827999115,-0.14040283720687902,J1715.1-5228,603.2195524687337,unid,unid
4FGL J1715.4-4025,0.004288018650637506,83.065908071585,0.06268175380182531,-1.1626525755587502,347.0101774367397,5.330633416195024e-12,1,bcu,27.245426177978516,2.10379182,0.2843793369172287,5684.040848192517,-0.020290722915061402,J1715.4-4025,-0.0,bcu,bcu
4FGL J1715.5-0836,0.14629064904538178,25.16164590488188,0.26345110992326276,16.92382997608353,13.55031358270583,1.9536728637737747e-12,1,,19.240245819091797,2.61157958,0.6121934358584769,1153.1033687502895,0.29110011825802007,J1715.0-0836,-0.0,unid,unid
4FGL J1715.7-4239,0.36108188551874554,45.59710215032101,0.09109769153884122,-2.420743566006902,345.5798105856962,5.581918873295241e-12,1,,7.116166591644287,2.23705578,-0.0036508090208720034,5682.368224083482,-0.042237376928602806,J1716.5-4219,-0.0,unid,unid
4FGL J1715.8-4549,0.059753796332766534,124.26710083149374,0.08673008766653222,-4.373508653144081,342.5951663796074,4.526786344103351e-12,1,spp,10.626187324523926,2.60282306,0.4843838423344238,2152.2677560818597,-0.07625802140999735,J1715.8-4552,0.00024117529392242432,other,
4FGL J1715.8+2151,0.028462364234191195,33.64662492251955,0.05389751090694503,30.313207014753214,43.60757285122822,1.2022781142561225e-12,1,fsrq,9.217668533325195,2.25536568,0.01100406220836403,1975.53585234324,0.5047266281711037,J1715.7+2152,-0.0,fsrq,fsrq
4FGL J1716.1+2309,0.011803592454140715,202.5277101873653,0.029391045141397287,30.64795143814354,45.03916315885889,2.406581149477789e-12,1,,6.075961589813232,1.88059731,0.15299033684248453,4351.202923409895,0.5097616014152229,J1716.1+2308,0.0009204000234603882,unid,unid
4FGL J1716.1-4342c,0.04355886159870134,76.25001452118158,0.10373946632948206,-3.1811266401750076,344.45095633123907,5.138234520249386e-12,1,,9.924647331237793,2.59747522,0.4324467021711631,2204.442226166004,-0.055492613316589445,J1716.3-4340,0.00032883137464523315,unid,unid
4FGL J1716.3-3421,0.009447538721239967,121.17955989204349,0.07552033343724297,2.23350090984509,352.0418396975302,8.273525166669242e-12,4,bcu,13.389527320861816,2.50622238,0.2753351120839409,2167.106096282203,0.03897207269787046,J1716.2-3421,105.77846379617085,bcu,bcu
4FGL J1716.3+3434,0.04296965634539446,48.397945484379306,0.11555779442178377,33.60065016568886,58.08528823524827,7.210798290882052e-13,1,msp,13.752267837524414,2.41380358,0.999273701197978,1557.548035702724,0.553401000808109,J1716.6+3434,0.0003846666777462815,psr,psr
4FGL J1716.5-5631,0.0691451261949648,54.98688206262887,0.24075742947394677,-10.606513176001366,333.8509287571483,3.5416121792736867e-12,1,,4.035384178161621,2.08288288,0.262170932890049,775.1267661926137,-0.18406308594243098,J1717.0-5633,-0.0,unid,unid
